16666us
86881500ns,-70215500ns,16666us
10184300ns,6481700ns,16666us
11214400ns,5451600ns,16666us
8739900ns,7926100ns,16666us
12690700ns,3975300ns,16666us
9979400ns,6686600ns,16666us
12884100ns,3781900ns,16666us
10900800ns,5765200ns,16666us
15690800ns,975200ns,16666us
11245000ns,5421000ns,16666us
13022200ns,3643800ns,16666us
10249900ns,6416100ns,16666us
14933100ns,1732900ns,16666us
22662900ns,-5996900ns,16666us
20792600ns,-4126600ns,16666us
13789500ns,2876500ns,16666us
14151300ns,2514700ns,16666us
15568300ns,1097700ns,16666us
12610800ns,4055200ns,16666us
16749400ns,-83400ns,16666us
18414600ns,-1748600ns,16666us
14016800ns,2649200ns,16666us
11486600ns,5179400ns,16666us
14788100ns,1877900ns,16666us
9819200ns,6846800ns,16666us
11383000ns,5283000ns,16666us
9993700ns,6672300ns,16666us
12293000ns,4373000ns,16666us
9614400ns,7051600ns,16666us
9433600ns,7232400ns,16666us
10418200ns,6247800ns,16666us
11172000ns,5494000ns,16666us
9296100ns,7369900ns,16666us
12810500ns,3855500ns,16666us
11271400ns,5394600ns,16666us
14742700ns,1923300ns,16666us
13831800ns,2834200ns,16666us
13387500ns,3278500ns,16666us
9156900ns,7509100ns,16666us
13122700ns,3543300ns,16666us
10367800ns,6298200ns,16666us
11934800ns,4731200ns,16666us
11486700ns,5179300ns,16666us
12260700ns,4405300ns,16666us
10665100ns,6000900ns,16666us
11734800ns,4931200ns,16666us
11116100ns,5549900ns,16666us
11050000ns,5616000ns,16666us
8941300ns,7724700ns,16666us
11384500ns,5281500ns,16666us
9349200ns,7316800ns,16666us
10798000ns,5868000ns,16666us
9300300ns,7365700ns,16666us
9796800ns,6869200ns,16666us
11151100ns,5514900ns,16666us
9980800ns,6685200ns,16666us
8698200ns,7967800ns,16666us
9356800ns,7309200ns,16666us
9352500ns,7313500ns,16666us
9527700ns,7138300ns,16666us
8753100ns,7912900ns,16666us
11842100ns,4823900ns,16666us
8925900ns,7740100ns,16666us
8687600ns,7978400ns,16666us
8987300ns,7678700ns,16666us
10201700ns,6464300ns,16666us
10942600ns,5723400ns,16666us
9865700ns,6800300ns,16666us
10205900ns,6460100ns,16666us
9715500ns,6950500ns,16666us
8579000ns,8087000ns,16666us
10151000ns,6515000ns,16666us
8499400ns,8166600ns,16666us
9774100ns,6891900ns,16666us
8860100ns,7805900ns,16666us
10020900ns,6645100ns,16666us
8404500ns,8261500ns,16666us
